    Num ,       T,       P,       M,    Para,       H,       S,
     1,          300.000000,         2100.000000,            0.057870,            0.250000,            7.997182,            0.082536,
     2,          210.000000,         2100.000000,            0.057870,            0.250000,            5.432314,            0.072383,
     3,          277.400628,          250.000000,            4.196797,            0.000000,            5.789952,            0.102974,
     4,          180.000000,          250.000000,            4.196797,            0.000000,            3.765186,            0.093983,
     5,          300.000000,         1500.000000,            4.196797,            0.000000,            6.276094,            0.089710,
     6,          206.000000,         1500.000000,            4.196797,            0.000000,            4.321550,            0.081894,
     7,          206.000000,         1500.000000,            1.083041,            0.000000,            4.321550,            0.081894,
     8,          206.000000,         1500.000000,            3.113756,            0.000000,            4.321550,            0.081894,
     9,          150.000000,         2100.000000,            0.057870,            0.250000,            3.815378,            0.063334,
    10,          121.861691,          250.000000,            4.196797,            0.000000,            2.556318,            0.085873,
    11,          121.861691,          250.000000,            1.083041,            0.000000,            2.556318,            0.085873,
    12,          130.592414,         1500.000000,            3.113756,            0.000000,            2.751878,            0.072405,
    13,          121.861691,          250.000000,            3.113756,            0.000000,            2.556318,            0.085873,
    14,          105.000000,         2100.000000,            0.057870,            0.250000,            2.692150,            0.054451,
    15,          110.157332,         2100.000000,            0.057870,            0.351790,            2.816641,            0.055608,
    16,          100.227377,          250.000000,            3.113756,            0.000000,            2.106316,            0.081807,
    17,          111.000000,         1500.000000,            3.113756,            0.000000,            2.343325,            0.069016,
    18,          111.000000,         1500.000000,            0.227872,            0.000000,            2.343325,            0.069016,
    19,          111.000000,         1500.000000,            2.885885,            0.000000,            2.343325,            0.069016,
    20,          105.000000,         2100.000000,            0.057870,            0.351790,            2.692150,            0.054451,
    21,          100.000000,          250.000000,            3.113756,            0.000000,            2.101586,            0.081760,
    22,           75.000000,         2100.000000,            0.057870,            0.351790,            1.977350,            0.046434,
    23,           71.429122,          250.000000,            3.113756,            0.000000,            1.506952,            0.074757,
    24,           81.690505,         1500.000000,            2.885885,            0.000000,            1.730726,            0.062607,
    25,           71.429122,          250.000000,            0.227872,            0.000000,            1.506952,            0.074757,
    26,           71.429122,          250.000000,            2.885885,            0.000000,            1.506952,            0.074757,
    27,           45.000000,         2100.000000,            0.057870,            0.351790,            1.163654,            0.032353,
    28,           59.812103,         2100.000000,            0.057870,            0.655723,            1.600852,            0.040817,
    29,           30.566437,          250.000000,            2.885885,            0.000000,            0.653797,            0.057025,
    30,           42.800000,         1500.000000,            2.885885,            0.000000,            0.910037,            0.048951,
    31,           42.800000,         1500.000000,            2.630676,            0.000000,            0.910037,            0.048951,
    32,           42.800000,         1500.000000,            0.255208,            0.000000,            0.910037,            0.048951,
    33,           26.303221,          250.000000,            2.630676,            0.000000,            0.564101,            0.053865,
    34,           45.000000,         2100.000000,            0.057870,            0.655723,            1.163654,            0.032353,
    35,           29.738748,          250.000000,            2.885885,            0.000000,            0.636407,            0.056448,
    36,           35.000000,         2100.000000,            0.057870,            0.655723,            0.493512,            0.015098,
    37,           27.215967,          250.000000,            2.885885,            0.000000,            0.583333,            0.054584,
    38,           28.900000,         1500.000000,            0.255208,            0.000000,            0.608718,            0.040430,
    39,           33.000000,         2100.000000,            0.057870,            0.655723,            0.381112,            0.011798,
    40,           37.576674,         2100.000000,            0.057870,            0.913174,            0.747510,            0.022083,
    41,           27.000000,          250.000000,            2.885885,            0.000000,            0.578784,            0.054416,
    42,           33.000000,         2100.000000,            0.057870,            0.913174,            0.381112,            0.011798,
    43,           26.303221,          250.000000,            2.885885,            0.000000,            0.564101,            0.053865,
    44,           26.303221,          250.000000,            0.255208,            0.000000,            0.564101,            0.053865,
    45,           20.600000,         2100.000000,            0.057870,            0.913174,            0.043208,           -0.000623,
    46,           19.007756,          250.000000,            0.255208,            0.000000,            0.409475,            0.046977,
    47,          619.319062,         1500.000000,            4.196797,            0.000000,           12.912807,            0.104775,
