  iter,x_1,   x_2,   x_3,   x_4,   x_5,      SEC, ERROR,
    70,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.011,
    71,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.009,
    72,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.008,
    73,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.008,
    74,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.005,
    75,           27.000000,          104.733661,          190.000000,            0.849478,            0.769447,           26.812298,       0.005,
    76,           27.000000,          104.728209,          189.747118,            0.847001,            0.796136,           26.731023,       0.007,
    77,           27.000000,          104.728209,          189.747118,            0.847001,            0.796136,           26.731023,       0.006,
    78,           27.000000,          104.728209,          189.747118,            0.847001,            0.796136,           26.731023,       0.006,
    79,           27.000000,          104.728209,          189.747118,            0.847001,            0.796136,           26.731023,       0.004,
    80,           27.000000,          104.722772,          189.671975,            0.847743,            0.800000,           26.693187,       0.005,
    81,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.005,
    82,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.004,
    83,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.003,
    84,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.003,
    85,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.002,
    86,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.002,
    87,           27.000000,          104.733896,          189.749681,            0.847920,            0.798769,           26.673310,       0.002,
    88,           27.000000,          104.727587,          189.776107,            0.849514,            0.797769,           26.624329,       0.003,
    89,           27.000000,          104.727587,          189.776107,            0.849514,            0.797769,           26.624329,       0.003,
    90,           27.000000,          104.727587,          189.776107,            0.849514,            0.797769,           26.624329,       0.002,
    91,           27.000000,          104.727587,          189.776107,            0.849514,            0.797769,           26.624329,       0.002,
    92,           27.000000,          104.727587,          189.776107,            0.849514,            0.797769,           26.624329,       0.002,
    93,           27.000000,          104.724859,          189.733402,            0.850000,            0.797892,           26.617676,       0.001,
    94,           27.000000,          104.732416,          189.771650,            0.850000,            0.797849,           26.605007,       0.002,
    95,           27.000000,          104.732416,          189.771650,            0.850000,            0.797849,           26.605007,       0.001,
    96,           27.000000,          104.732416,          189.771650,            0.850000,            0.797849,           26.605007,       0.001,
