    Num ,       W,       Q,
     1,            0.000000,            0.000000,
     2,            0.000000,            0.000000,
     3,            0.000000,            0.000000,
     4,            0.000000,            0.000000,
     5,            0.000000,            0.000000,
     6,    -21682852.815775,    -21682852.815775,
     7,       154313.400506,       154313.400506,
     8,       256572.229274,       256572.229274,
     9,        98516.273566,        98516.273566,
    10,            0.000000,            0.000000,
