    Num ,       T,       P,       M,    Para,       H,       S,
     1,           54.021655,          100.000000,            0.066340,            0.000000,       810913.830577,           65.864127,
     2,           79.620788,          100.000000,            0.066340,            0.000000,      1081180.574460,           74.113248,
     3,          299.727007,          100.000000,            0.066340,            0.000000,         7971.530743,          107.861229,
     4,          449.567468,          345.000000,            0.066340,            0.000000,        12334.107544,          119.659950,
     5,          300.000000,          345.000000,            0.066340,            0.000000,      3959338.928406,           97.586308,
     6,           80.600000,          345.000000,            0.066340,            0.000000,      1086151.799277,           63.969090,
     7,           80.000000,         2100.000000,            0.057870,            0.250000,      1565230.817648,        32925.349944,
     8,           55.000000,         2100.000000,            0.057870,            0.250000,      1255407.144998,        28261.529707,
