    Num ,       T,       P,       M,    Para,       H,       S,
     1,            0.000000,          100.000000,            0.066340,            0.000000,            0.000000,            0.000000,
     2,            0.000000,          100.000000,            0.066340,            0.000000,            0.000000,            0.000000,
     3,            0.000000,          100.000000,            0.066340,            0.000000,            0.000000,            0.000000,
     4,            0.000000,          345.000000,            0.066340,            0.000000,            0.000000,            0.000000,
     5,          300.000000,          345.000000,            0.066340,            0.000000,            7.981552,            0.097586,
     6,           80.600000,          345.000000,            0.066340,            0.000000,            2.189552,            0.063969,
     7,           80.000000,         2100.000000,            0.057870,            0.250000,            2.096914,            0.047978,
     8,           55.000000,         2100.000000,            0.057870,            0.250000,            1.472347,            0.038576,
