    Num ,       T,       P,       M,    Para,       H,       S,
     1,           54.021655,          100.000000,            0.066340,            0.000000,          810.913831,            0.065864,
     2,           79.620788,          100.000000,            0.066340,            0.000000,         1081.180574,            0.074113,
     3,          299.727007,          100.000000,            0.066340,            0.000000,            7.971531,            0.107861,
     4,          449.567468,          345.000000,            0.066340,            0.000000,           12.334108,            0.119660,
     5,          300.000000,          345.000000,            0.066340,            0.000000,         3959.338928,            0.097586,
     6,           80.600000,          345.000000,            0.066340,            0.000000,         1086.151799,            0.063969,
     7,           80.000000,         2100.000000,            0.057870,            0.250000,         1565.230818,           32.925350,
     8,           55.000000,         2100.000000,            0.057870,            0.250000,         1255.407145,           28.261530,
